iter	MultiClass
0	1.237414122
1	1.099474573
2	0.9850848491
3	0.9018764112
4	0.8407323957
5	0.786759064
6	0.7281303161
7	0.6931364566
8	0.6531766575
9	0.6166384951
10	0.5890425599
11	0.5592117517
12	0.5344798703
13	0.5215905874
14	0.4985286945
15	0.4813514697
16	0.4716454225
17	0.4620241861
18	0.4429811129
19	0.4339156207
20	0.4274213145
21	0.4243741555
22	0.4204651367
23	0.4066195455
24	0.3972654508
25	0.3906591333
26	0.3805474723
27	0.3728041637
28	0.3663134728
29	0.3579168808
30	0.3503927682
31	0.3421221937
32	0.3368139454
33	0.332738511
34	0.3275330428
35	0.3261637782
36	0.3188113885
37	0.3168339163
38	0.3106575803
39	0.3056338239
40	0.3024267785
41	0.2983208913
42	0.2934325834
43	0.2910754173
44	0.2851374973
45	0.283174987
46	0.2805698794
47	0.2773881626
48	0.2740162214
49	0.2718850435
50	0.2672179991
51	0.2649201567
52	0.2629759864
53	0.2598958058
54	0.2547668206
55	0.2520325673
56	0.2510277746
57	0.2480291426
58	0.2466131103
59	0.2434772737
60	0.2394406115
61	0.2375345735
62	0.2364588794
63	0.2331906474
64	0.2306375831
65	0.2285616697
66	0.2253925007
67	0.2226467285
68	0.2212740765
69	0.219364401
70	0.2162369637
71	0.2152334248
72	0.21420925
73	0.211192279
74	0.2092613748
75	0.2063381832
76	0.2038334908
77	0.2021160151
78	0.2009921441
79	0.1989964596
80	0.1979082167
81	0.1972114729
82	0.1961274409
83	0.193665161
84	0.1927712604
85	0.191064733
86	0.1900058596
87	0.1886816199
88	0.1880637286
89	0.1875279802
90	0.1864693917
91	0.1855082251
92	0.1841096848
93	0.18279473
94	0.180777781
95	0.1782821446
96	0.1773183419
97	0.1760312461
98	0.1750109218
99	0.1742131391
100	0.1733354617
101	0.1723542131
102	0.171434367
103	0.1704879331
104	0.1693850896
105	0.1688565733
106	0.1681196838
107	0.1671308553
108	0.1665723487
109	0.1658899543
110	0.1644208965
111	0.1638419782
112	0.1626118709
113	0.1617931665
114	0.1616223727
115	0.1611148766
116	0.1606793713
117	0.1595556705
118	0.1576849536
119	0.1567019818
120	0.1562951148
