iter	RMSE
0	111633.8246
1	108217.8086
2	104676.7564
3	101305.7787
4	98163.16789
5	95172.43384
6	92597.61816
7	89994.94427
8	87861.72585
9	85821.42552
10	83824.68816
11	82213.93441
12	80544.40245
13	79160.07095
14	77911.58445
15	76723.25792
16	75644.28514
17	74664.37606
18	73724.59032
19	72925.31908
20	72160.33376
21	71364.64139
22	70585.48036
23	69994.03081
24	69436.52744
25	68900.85397
26	68432.08351
27	67926.61484
28	67485.71689
29	67130.90196
30	66726.72385
31	66299.37113
32	65960.30474
33	65574.05366
34	65150.49577
35	64825.55084
36	64411.76799
37	64056.7623
38	63782.19199
39	63518.88754
40	63132.10019
41	62888.32785
42	62689.15122
43	62391.40161
44	62136.69367
45	61952.50381
46	61789.435
47	61569.52405
48	61327.66116
49	61107.69484
50	60802.23924
51	60600.65608
52	60466.19502
53	60281.84444
54	60099.42775
55	59863.16294
56	59674.29948
57	59375.72569
58	59213.02153
59	59034.42294
60	58907.92979
61	58658.92345
62	58521.1216
63	58380.53544
64	58245.43021
65	58092.3686
66	57877.36161
67	57754.57279
68	57643.38548
69	57503.66251
70	57378.73053
71	57238.75407
72	57132.42769
73	56995.85734
74	56878.04602
75	56772.54585
76	56552.62966
77	56428.64875
78	56250.06803
79	56024.55661
80	55888.7251
81	55777.99514
82	55661.69661
83	55566.51407
84	55481.68111
85	55411.55113
86	55243.36847
87	55159.18776
88	55006.12681
89	54935.72825
90	54829.34898
91	54694.49485
92	54575.96714
93	54507.70652
94	54409.46364
95	54326.21163
96	54240.02667
97	54176.83668
98	54118.97452
99	54048.41518
100	53935.96479
101	53886.83258
102	53821.94058
103	53720.96047
104	53655.38508
105	53594.43304
106	53521.37776
107	53406.99191
108	53349.25842
109	53274.40315
110	53224.80724
111	53119.47183
112	53060.79876
113	52966.66514
114	52914.23302
115	52840.81855
116	52767.96628
117	52708.36037
118	52662.20147
119	52589.92023
120	52534.36057
121	52486.45854
122	52393.15722
123	52330.93148
124	52266.59314
125	52204.83726
126	52138.63165
127	52085.25077
128	52005.73708
129	51961.66767
130	51889.37149
131	51843.46606
132	51716.38388
133	51657.27299
134	51594.76735
135	51542.63477
136	51492.25012
137	51437.41658
138	51397.6406
139	51347.15574
140	51246.01365
141	51174.73183
142	51136.53167
143	51068.64807
144	51025.71816
145	50976.0968
146	50897.1153
147	50850.22355
148	50815.76788
149	50777.81802
150	50713.43938
151	50612.1916
152	50568.41439
153	50518.88451
154	50462.98423
155	50429.59779
156	50361.44118
157	50325.03083
158	50285.54398
159	50217.9743
160	50183.8562
161	50148.98507
162	50083.79096
163	50043.16119
164	50008.12939
165	49943.57218
166	49880.99039
167	49836.2705
168	49773.61344
169	49721.49397
170	49683.11517
171	49636.04469
172	49584.70575
173	49516.28647
174	49473.23734
175	49400.65866
176	49352.1714
177	49306.47062
178	49232.97199
179	49208.96441
180	49165.34473
181	49128.12979
182	49090.9334
183	49057.16211
184	49008.05291
185	48968.4494
186	48926.79516
187	48840.52553
188	48795.01571
189	48729.8122
190	48698.46778
191	48654.63433
192	48608.5548
193	48573.0794
194	48538.13323
195	48502.63857
196	48467.25398
197	48428.90599
198	48375.34002
199	48339.90402
200	48309.27137
201	48261.74245
202	48229.62609
203	48194.99837
204	48166.83753
205	48103.17744
206	48069.81733
207	48019.29822
208	47982.45246
209	47953.65837
210	47907.88233
211	47868.15147
212	47818.81692
213	47773.1893
214	47741.90611
215	47701.65573
216	47670.90656
217	47648.79353
218	47619.15158
219	47580.13738
220	47545.63838
221	47518.45025
222	47492.54494
223	47453.66382
224	47410.51182
225	47367.92591
226	47310.47839
227	47270.06525
228	47238.55424
229	47197.76782
230	47165.04214
231	47136.93648
232	47107.63826
233	47072.96024
234	47051.57748
235	47001.28171
236	46963.11038
237	46931.56795
238	46898.75114
239	46874.74452
240	46825.98507
241	46787.55991
242	46732.86672
243	46692.24444
244	46652.36387
245	46626.80478
246	46591.63808
247	46570.10779
248	46535.3561
249	46520.63712
250	46491.72453
251	46464.67093
252	46426.73588
253	46382.52054
254	46363.90154
255	46337.83271
256	46290.77602
257	46265.38726
258	46224.29566
259	46194.668
260	46179.98384
261	46146.39445
262	46111.06226
263	46081.20814
264	46047.43519
265	46010.7284
266	45984.42686
267	45954.1414
268	45929.94002
269	45901.7587
270	45864.50211
271	45858.64061
