iter	Passed	Remaining
0	41	41603
1	71	35629
2	105	35200
3	130	32586
4	194	38751
5	223	37068
6	248	35197
7	271	33631
8	294	32472
9	319	31591
10	341	30748
11	365	30120
12	390	29638
13	414	29186
14	439	28843
15	463	28504
16	488	28241
17	512	27963
18	537	27748
19	561	27523
20	586	27350
21	611	27194
22	637	27060
23	660	26871
24	685	26731
25	710	26624
26	735	26515
27	760	26383
28	784	26282
29	809	26166
30	860	26900
31	892	27000
32	917	26879
33	940	26726
34	965	26612
35	989	26498
36	1013	26383
37	1037	26276
38	1062	26192
39	1100	26404
40	1143	26738
41	1186	27074
42	1211	26973
43	1234	26828
44	1258	26699
45	1281	26585
46	1306	26492
47	1331	26407
48	1357	26347
49	1382	26272
50	1407	26198
51	1433	26131
52	1461	26105
53	1487	26056
54	1511	25972
55	1536	25903
56	1561	25831
57	1586	25774
58	1611	25696
59	1635	25627
60	1660	25557
61	1686	25522
62	1713	25480
63	1737	25403
64	1761	25341
65	1787	25293
66	1812	25240
67	1836	25176
68	1861	25121
69	1886	25065
70	1911	25015
71	1935	24951
72	1961	24911
73	1986	24858
74	2011	24812
75	2037	24766
76	2061	24714
77	2087	24673
78	2111	24617
79	2136	24569
80	2161	24522
81	2185	24471
82	2214	24461
83	2238	24411
84	2263	24364
85	2288	24324
86	2313	24280
87	2339	24241
88	2364	24202
89	2388	24152
90	2412	24099
91	2439	24074
92	2463	24029
93	2489	23990
94	2514	23951
95	2539	23909
96	2564	23871
97	2588	23826
98	2614	23796
99	2640	23761
100	2664	23717
101	2687	23664
102	2712	23621
103	2736	23572
104	2763	23554
105	2788	23520
106	2813	23478
107	2839	23450
108	2864	23416
109	2890	23389
110	2915	23353
111	2941	23323
112	2970	23313
113	2997	23293
114	3022	23263
115	3048	23230
116	3073	23199
117	3099	23170
118	3126	23145
119	3151	23108
120	3178	23093
121	3204	23059
122	3230	23033
123	3256	23003
124	3282	22980
125	3309	22955
126	3334	22920
127	3359	22883
128	3385	22858
129	3412	22834
130	3438	22806
131	3464	22780
132	3491	22761
133	3516	22725
134	3542	22697
135	3566	22660
136	3592	22627
137	3617	22593
138	3642	22560
139	3665	22518
140	3689	22477
141	3714	22442
142	3738	22405
143	3762	22368
144	3788	22337
145	3813	22303
146	3837	22266
147	3861	22231
148	3885	22192
149	3911	22164
150	3936	22133
151	3964	22117
152	3993	22105
153	4020	22089
154	4048	22068
155	4074	22041
156	4100	22017
157	4128	21999
158	4155	21981
159	4181	21950
160	4208	21933
161	4233	21900
162	4257	21861
163	4281	21825
164	4307	21799
165	4332	21768
166	4357	21735
167	4381	21700
168	4406	21669
169	4432	21641
170	4458	21612
171	4482	21579
172	4543	21718
173	4567	21681
174	4592	21651
175	4617	21619
176	4644	21596
177	4668	21560
178	4693	21527
179	4718	21494
180	4744	21469
181	4769	21434
182	4793	21400
183	4818	21367
184	4844	21340
185	4869	21309
186	4893	21275
187	4918	21244
188	4943	21211
189	4968	21180
190	4993	21150
191	5017	21116
192	5043	21088
193	5068	21057
194	5093	21027
195	5118	20995
196	5143	20964
197	5168	20935
198	5194	20909
199	5218	20874
200	5245	20850
201	5270	20821
202	5296	20796
203	5322	20769
204	5347	20737
205	5372	20707
206	5397	20676
207	5422	20648
208	5447	20618
209	5473	20591
210	5498	20562
211	5524	20532
212	5548	20500
213	5573	20472
214	5599	20444
215	5625	20417
216	5650	20387
217	5674	20355
218	5699	20324
219	5725	20300
220	5750	20269
221	5775	20238
222	5800	20212
223	5825	20181
224	5849	20149
225	5874	20118
226	5898	20085
227	5924	20058
228	5949	20029
229	5973	19997
230	5997	19967
231	6024	19942
232	6049	19914
233	6074	19884
234	6099	19854
235	6124	19825
236	6149	19798
237	6174	19767
238	6199	19738
239	6224	19712
240	6251	19688
241	6276	19660
242	6301	19629
243	6325	19598
244	6351	19572
245	6374	19539
246	6399	19508
247	6424	19479
248	6447	19445
249	6472	19418
250	6497	19389
251	6521	19357
252	6545	19326
253	6570	19297
254	6594	19264
255	6618	19234
256	6642	19203
257	6668	19179
258	6692	19147
259	6718	19120
260	6742	19089
261	6767	19062
262	6792	19035
263	6817	19007
264	6842	18979
265	6868	18952
266	6893	18925
267	6919	18898
268	6943	18869
269	6969	18843
270	6994	18814
271	7017	18782
272	7042	18753
273	7066	18723
274	7091	18695
275	7116	18668
276	7141	18640
277	7166	18611
278	7192	18586
279	7218	18561
280	7242	18532
281	7268	18507
282	7294	18481
283	7320	18455
284	7344	18426
285	7368	18396
286	7393	18368
287	7422	18350
288	7448	18324
289	7472	18295
290	7498	18270
291	7524	18244
292	7549	18215
293	7572	18184
294	7596	18153
295	7620	18124
296	7645	18096
297	7670	18068
298	7694	18039
299	7724	18023
300	7754	18008
301	7780	17982
302	7805	17954
303	7830	17926
304	7857	17903
305	7881	17874
306	7906	17847
307	7931	17820
308	7956	17791
309	7984	17771
310	8008	17743
311	8032	17713
312	8057	17685
313	8081	17656
314	8106	17628
315	8131	17601
316	8156	17574
317	8182	17549
318	8209	17526
319	8235	17500
320	8264	17481
321	8289	17454
322	8313	17424
323	8338	17396
324	8361	17367
325	8388	17342
326	8412	17314
327	8437	17287
328	8463	17261
329	8488	17235
330	8512	17204
331	8537	17178
332	8562	17150
333	8588	17124
334	8613	17099
335	8638	17071
336	8663	17044
337	8687	17014
338	8711	16986
339	8735	16957
340	8759	16928
341	8784	16901
342	8808	16872
343	8831	16841
344	8854	16811
345	8880	16785
346	8905	16758
347	8929	16730
348	8953	16701
349	8978	16674
350	9003	16647
351	9027	16619
352	9053	16593
353	9078	16566
354	9103	16540
355	9129	16514
356	9154	16487
357	9177	16458
358	9202	16431
359	9229	16407
360	9254	16380
361	9279	16353
362	9303	16325
363	9329	16301
364	9353	16272
365	9378	16245
366	9402	16216
367	9427	16190
368	9451	16162
369	9474	16132
370	9499	16105
371	9525	16080
372	9550	16053
373	9574	16026
374	9598	15998
375	9623	15971
376	9646	15940
377	9670	15912
378	9696	15887
379	9720	15860
380	9745	15832
381	9769	15804
382	9792	15775
383	9817	15748
384	9841	15720
385	9865	15692
386	9889	15665
387	9912	15635
388	9938	15610
389	9963	15584
390	9987	15556
391	10013	15530
392	10038	15504
393	10061	15474
394	10085	15447
395	10108	15418
396	10133	15390
397	10158	15364
398	10182	15338
399	10208	15312
400	10233	15285
401	10258	15259
402	10284	15235
403	10308	15208
404	10328	15173
405	10351	15144
406	10377	15120
407	10402	15093
408	10427	15067
409	10451	15039
410	10477	15014
411	10502	14988
412	10525	14959
413	10549	14931
414	10574	14906
415	10599	14880
416	10623	14852
417	10647	14824
418	10672	14798
419	10696	14771
420	10721	14745
421	10745	14717
422	10770	14691
423	10796	14666
424	10819	14638
425	10843	14610
426	10867	14583
427	10894	14560
428	10919	14533
429	10944	14507
430	10968	14479
431	10991	14451
432	11014	14422
433	11038	14395
434	11062	14368
435	11087	14341
436	11111	14315
437	11136	14289
438	11161	14263
439	11185	14235
440	11210	14210
441	11234	14183
442	11259	14157
443	11284	14131
444	11309	14105
445	11335	14080
446	11360	14054
447	11385	14028
448	11410	14002
449	11435	13977
450	11460	13950
451	11484	13924
452	11507	13895
453	11532	13869
454	11557	13843
455	11580	13814
456	11604	13788
457	11629	13762
458	11654	13736
459	11678	13709
460	11700	13680
461	11725	13654
462	11748	13626
463	11773	13600
464	11797	13573
465	11819	13544
466	11844	13518
467	11868	13491
468	11891	13463
469	11916	13437
470	11941	13411
471	11964	13383
472	11989	13358
473	12012	13329
474	12036	13304
475	12062	13278
476	12085	13251
477	12109	13224
478	12135	13199
479	12160	13174
480	12185	13148
481	12209	13121
482	12233	13094
483	12257	13067
484	12282	13042
485	12309	13018
486	12333	12992
487	12356	12964
488	12382	12939
489	12406	12913
490	12428	12884
491	12453	12858
492	12477	12832
493	12503	12807
494	12527	12781
495	12552	12755
496	12577	12729
497	12603	12705
498	12626	12676
499	12650	12650
500	12673	12623
501	12698	12597
502	12723	12572
503	12748	12546
504	12772	12520
505	12799	12495
506	12824	12469
507	12849	12444
508	12874	12418
509	12898	12392
510	12924	12368
511	12949	12342
512	12973	12316
513	12999	12291
514	13023	12264
515	13047	12238
516	13069	12210
517	13094	12184
518	13120	12159
519	13144	12133
520	13169	12107
521	13192	12080
522	13216	12053
523	13241	12028
524	13266	12002
525	13291	11977
526	13317	11952
527	13342	11927
528	13367	11902
529	13392	11876
530	13418	11851
531	13443	11826
532	13469	11801
533	13493	11775
534	13518	11749
535	13544	11725
536	13570	11700
537	13594	11674
538	13620	11649
539	13645	11624
540	13671	11598
541	13695	11573
542	13720	11547
543	13744	11520
544	13770	11496
545	13795	11470
546	13819	11444
547	13844	11419
548	13869	11393
549	13894	11368
550	13918	11342
551	13943	11316
552	13969	11291
553	13994	11265
554	14018	11239
555	14042	11213
556	14068	11189
557	14093	11163
558	14118	11137
559	14142	11111
560	14167	11086
561	14193	11061
562	14217	11035
563	14240	11008
564	14263	10981
565	14288	10956
566	14314	10931
567	14338	10905
568	14362	10879
569	14388	10854
570	14411	10827
571	14435	10801
572	14458	10774
573	14482	10748
574	14508	10723
575	14533	10698
576	14561	10674
577	14585	10649
578	14613	10625
579	14637	10599
580	14661	10573
581	14686	10548
582	14712	10523
583	14736	10497
584	14759	10470
585	14784	10444
586	14809	10419
587	14834	10394
588	14859	10368
589	14883	10342
590	14908	10317
591	14933	10291
592	14957	10265
593	14982	10240
594	15005	10214
595	15031	10189
596	15055	10162
597	15079	10136
598	15102	10110
599	15127	10085
600	15153	10060
601	15178	10034
602	15201	10008
603	15225	9982
604	15250	9956
605	15274	9931
606	15299	9905
607	15324	9880
608	15350	9855
609	15373	9829
610	15398	9803
611	15422	9777
612	15448	9752
613	15474	9728
614	15498	9702
615	15523	9676
616	15547	9651
617	15572	9625
618	15597	9600
619	15621	9574
620	15646	9549
621	15671	9523
622	15696	9498
623	15721	9472
624	15745	9447
625	15770	9422
626	15795	9396
627	15819	9370
628	15843	9344
629	15867	9319
630	15893	9294
631	15917	9268
632	15942	9243
633	15967	9217
634	15994	9193
635	16018	9167
636	16043	9142
637	16067	9116
638	16092	9091
639	16117	9066
640	16142	9040
641	16167	9015
642	16192	8990
643	16215	8963
644	16238	8937
645	16261	8910
646	16284	8884
647	16310	8859
648	16335	8834
649	16359	8809
650	16384	8783
651	16409	8758
652	16434	8733
653	16459	8708
654	16483	8682
655	16508	8656
656	16531	8630
657	16556	8605
658	16580	8579
659	16605	8554
660	16630	8528
661	16655	8503
662	16678	8477
663	16702	8452
664	16728	8427
665	16753	8402
666	16778	8376
667	16802	8351
668	16828	8326
669	16852	8300
670	16877	8275
671	16903	8250
672	16929	8225
673	16953	8200
674	16977	8174
675	17001	8148
676	17025	8123
677	17050	8097
678	17075	8072
679	17099	8046
680	17124	8021
681	17149	7996
682	17175	7971
683	17197	7945
684	17222	7920
685	17248	7895
686	17273	7869
687	17297	7844
688	17323	7819
689	17348	7794
690	17373	7768
691	17397	7743
692	17424	7719
693	17452	7695
694	17477	7670
695	17504	7645
696	17530	7620
697	17555	7595
698	17579	7570
699	17604	7544
700	17628	7518
701	17652	7493
702	17677	7468
703	17702	7442
704	17725	7417
705	17749	7391
706	17774	7366
707	17799	7341
708	17822	7315
709	17845	7289
710	17870	7263
711	17896	7238
712	17920	7213
713	17944	7187
714	17974	7164
715	18001	7140
716	18025	7114
717	18050	7089
718	18073	7063
719	18097	7037
720	18123	7012
721	18147	6987
722	18173	6962
723	18197	6937
724	18225	6912
725	18248	6887
726	18275	6862
727	18302	6838
728	18330	6814
729	18374	6796
730	18400	6771
731	18425	6745
732	18449	6720
733	18472	6694
734	18496	6668
735	18520	6643
736	18544	6617
737	18569	6592
738	18593	6566
739	18618	6541
740	18643	6516
741	18668	6491
742	18693	6465
743	18718	6440
744	18744	6415
745	18769	6390
746	18796	6366
747	18821	6340
748	18845	6315
749	18870	6290
750	18895	6265
751	18921	6240
752	18946	6214
753	18972	6189
754	18996	6164
755	19021	6139
756	19045	6113
757	19070	6088
758	19094	6063
759	19121	6038
760	19145	6012
761	19171	5988
762	19195	5962
763	19220	5937
764	19244	5911
765	19269	5886
766	19293	5860
767	19318	5835
768	19343	5810
769	19367	5784
770	19393	5760
771	19417	5734
772	19442	5709
773	19466	5684
774	19492	5659
775	19517	5633
776	19541	5608
777	19566	5583
778	19592	5558
779	19617	5533
780	19641	5507
781	19666	5482
782	19691	5457
783	19715	5431
784	19740	5406
785	19764	5381
786	19789	5355
787	19815	5331
788	19839	5305
789	19864	5280
790	19889	5255
791	19914	5230
792	19939	5204
793	19965	5179
794	19989	5154
795	20017	5130
796	20041	5104
797	20066	5079
798	20091	5054
799	20116	5029
800	20140	5003
801	20165	4978
802	20190	4953
803	20215	4928
804	20239	4902
805	20264	4877
806	20288	4852
807	20314	4827
808	20339	4802
809	20364	4776
810	20390	4751
811	20415	4726
812	20440	4701
813	20465	4676
814	20490	4651
815	20514	4625
816	20540	4600
817	20565	4575
818	20589	4550
819	20615	4525
820	20639	4499
821	20664	4474
822	20688	4449
823	20714	4424
824	20738	4399
825	20764	4374
826	20789	4348
827	20814	4323
828	20838	4298
829	20864	4273
830	20889	4248
831	20916	4223
832	20940	4198
833	20966	4173
834	20991	4148
835	21016	4122
836	21041	4097
837	21066	4072
838	21091	4047
839	21116	4022
840	21141	3996
841	21166	3971
842	21191	3946
843	21216	3921
844	21241	3896
845	21265	3871
846	21291	3846
847	21316	3820
848	21340	3795
849	21364	3770
850	21389	3744
851	21417	3720
852	21441	3695
853	21466	3669
854	21490	3644
855	21515	3619
856	21540	3594
857	21564	3568
858	21588	3543
859	21615	3518
860	21640	3493
861	21664	3468
862	21688	3443
863	21714	3418
864	21738	3392
865	21763	3367
866	21787	3342
867	21814	3317
868	21839	3292
869	21863	3266
870	21887	3241
871	21914	3216
872	21939	3191
873	21963	3166
874	21987	3141
875	22013	3116
876	22039	3091
877	22063	3065
878	22087	3040
879	22112	3015
880	22138	2990
881	22162	2965
882	22186	2939
883	22212	2914
884	22237	2889
885	22262	2864
886	22286	2839
887	22312	2814
888	22336	2788
